Size_Bytes,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
1,263,172,321,575,90
2,70,65,65,42,44
4,31,30,20,44,33
8,32,32,21,38,34
16,20,26,21,35,23
32,19,26,22,46,32
64,19,25,21,24,33
128,20,25,21,52,25
256,17,24,32,25,24
512,17,25,21,25,24
1024,16,25,18,25,24
2048,17,25,17,67,23
4096,36,44,65,28,46
8192,30,34,27,30,23
16384,21,22,20,28,25
32768,20,23,20,22,22
65536,34,22,34,21,20
131072,19,24,21,21,21
262144,30,22,19,29,21
524288,19,21,20,20,21
1048576,19,31,18,21,22
2097152,18,35,19,30,21
4194304,20,21,19,31,22
8388608,19,21,18,21,21
