Size_Bytes,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
1,303,360,572,122,206
2,56,97,58,56,133
4,35,38,46,58,211
8,37,40,25,56,49
16,21,25,24,55,48
32,24,24,25,38,38
64,22,24,25,24,42
128,20,23,25,25,40
256,18,24,25,33,28
512,20,25,20,24,25
1024,18,23,18,24,37
2048,18,24,19,1915,29
4096,2686,2402,2336,1474,2531
8192,2447,3272,2559,1541,2331
16384,2317,2217,2329,1433,2277
32768,2455,2276,3299,1557,2215
65536,2443,2419,2301,1573,2117
131072,2895,2917,2868,1377,2202
262144,3653,2400,2448,1468,2072
524288,2361,2343,2464,1533,3019
1048576,2369,3042,2431,3280,2684
2097152,2698,2874,2880,2853,2902
4194304,3225,2840,2782,2473,3223
8388608,2824,3025,3746,1938,2963
