Op_Count,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
500,518262.00,596618.13,1359659.98,2008612.93,2049575.12
1000,443160.07,482604.05,949309.71,1773688.05,1533747.04
1500,366707.64,379560.13,706048.81,1563896.10,1232862.19
2000,322145.28,332816.64,573586.24,1477476.97,1072803.68
2500,270663.04,289973.62,483914.77,1361974.75,853893.38
3000,238960.46,262182.69,426657.87,1284834.54,770744.59
3500,212814.23,232064.97,383731.16,1220002.32,694356.69
4000,189731.37,210697.41,350388.55,1143924.59,629289.20
4500,173952.83,193339.50,321025.18,1095167.37,576418.12
5000,157361.26,182999.32,296235.08,1044030.74,535667.87
5500,148425.85,176974.99,277003.71,988107.50,508247.80
6000,138056.01,169268.22,257388.71,945443.05,478522.63
6500,128997.79,164006.10,240666.78,896336.23,451184.32
7000,120946.23,159867.70,226938.38,848668.88,426923.32
7500,114465.39,156624.71,212986.30,823694.01,403126.39
8000,108371.37,154196.19,199609.23,789294.48,381290.26
8500,103383.46,152732.08,188171.77,751529.03,363496.53
9000,99448.62,152171.73,177730.27,727962.98,346283.14
9500,95718.92,151523.56,168342.43,699513.00,331548.52
10000,0.00,0.00,0.00,0.00,0.00
