Size_Bytes,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
1,458,72,268,404,257
2,70,60,44,38,34
4,28,29,36,35,37
8,26,29,28,29,36
16,17,18,25,29,26
32,16,27,20,41,26
64,16,26,18,22,20
128,17,18,20,37,17
256,16,18,30,20,19
512,15,14,18,21,17
1024,14,15,18,19,18
2048,15,15,18,41,17
4096,30,36,30,27,37
8192,25,24,16,17,26
16384,17,17,15,17,24
32768,17,18,17,16,20
65536,18,17,17,16,15
131072,25,18,18,15,18
262144,17,18,18,16,18
524288,17,24,19,17,16
1048576,17,18,17,15,16
2097152,16,18,18,24,18
4194304,17,18,17,22,16
8388608,20,17,26,31,17
