Size_Bytes,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
1,177,246,272,67,263
2,56,68,48,47,184
4,31,40,32,44,292
8,32,34,22,47,41
16,25,33,23,45,49
32,18,29,27,40,48
64,19,33,23,25,22
128,19,23,22,27,25
256,16,22,24,19,22
512,16,20,23,21,22
1024,16,21,23,20,27
2048,15,17,17,1784,32
4096,2215,2147,2282,1183,2144
8192,2114,2726,2308,1280,1887
16384,2242,2157,2095,1184,2094
32768,2106,2055,2669,1285,1910
65536,2140,2066,2179,1280,1859
131072,2227,2212,2144,1185,1739
262144,2839,2270,2141,1256,1781
524288,2368,2551,2447,1604,2468
1048576,2119,2900,2030,3026,2148
2097152,2578,2798,2389,2732,2547
4194304,2413,2362,2871,2200,2466
8388608,2571,2550,3200,1831,2644
