Time_Step,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
0,0.9004,0.9004,0.9004,0.4520,0.9004
1,0.9209,0.9209,0.9209,0.4581,0.9209
2,0.6333,0.6333,0.6333,0.6267,0.6333
3,0.5676,0.5676,0.5676,0.5637,0.5676
4,0.6765,0.6765,0.6765,0.5377,0.6765
5,0.7529,0.7529,0.7529,0.5972,0.7529
6,0.8354,0.8354,0.8354,0.5523,0.8354
7,0.9021,0.9021,0.9021,0.5953,0.9021
8,0.8830,0.8830,0.8830,0.6251,0.8830
9,0.9266,0.9268,0.9266,0.6551,0.9266
10,0.9412,0.9426,0.9412,0.5821,0.9412
11,0.8405,0.8416,0.8405,0.6232,0.8405
12,0.8971,0.8983,0.8971,0.5915,0.8971
13,0.8608,0.8618,0.8608,0.5682,0.8608
14,0.7998,0.8006,0.7998,0.6154,0.7998
15,0.7561,0.7570,0.7561,0.5824,0.7561
16,0.8251,0.8259,0.8251,0.6350,0.8251
17,0.8284,0.8292,0.8284,0.6367,0.8284
18,0.8179,0.8179,0.8179,0.6294,0.8179
19,0.7994,0.7994,0.7994,0.6332,0.7994
20,0.8418,0.7483,0.7483,0.6062,0.8418
21,0.8153,0.8153,0.8153,0.6058,0.8153
22,0.8072,0.8072,0.8072,0.6156,0.8072
23,0.7918,0.7918,0.7918,0.6170,0.7918
24,0.7751,0.7751,0.7751,0.6151,0.7751
25,0.8034,0.8034,0.8034,0.6372,0.8034
26,0.8174,0.8174,0.8174,0.6478,0.8174
27,0.8111,0.8111,0.8111,0.6532,0.8111
28,0.7647,0.7647,0.7647,0.6159,0.7647
29,0.8078,0.8078,0.8078,0.6504,0.8078
30,0.7816,0.7816,0.7816,0.6297,0.7816
31,0.8110,0.8110,0.8110,0.6531,0.8110
32,0.7595,0.7595,0.7595,0.6117,0.7595
33,0.7809,0.7809,0.7809,0.6286,0.7809
34,0.8122,0.8122,0.8122,0.6535,0.8122
35,0.8661,0.8042,0.8042,0.6561,0.8661
36,0.8407,0.7806,0.7806,0.6372,0.8407
37,0.8085,0.8085,0.8085,0.6596,0.8085
38,0.7842,0.7842,0.7842,0.6402,0.7842
39,0.7949,0.7949,0.7949,0.6485,0.7949
40,0.7991,0.7991,0.7991,0.6599,0.7991
41,0.8243,0.8243,0.8243,0.6449,0.8243
42,0.8338,0.8338,0.8337,0.6519,0.8338
43,0.8676,0.8134,0.8132,0.6446,0.8134
44,0.8691,0.8180,0.8178,0.6562,0.8180
45,0.8667,0.8186,0.8185,0.6640,0.8186
46,0.8583,0.8107,0.8107,0.6580,0.8107
47,0.8294,0.8294,0.8294,0.6729,0.8294
48,0.7886,0.7886,0.7886,0.6399,0.7886
49,0.8204,0.8204,0.8204,0.6656,0.8204
50,0.8504,0.8056,0.8056,0.6600,0.8056
51,0.8434,0.8013,0.8013,0.6623,0.8013
52,0.8289,0.7894,0.7894,0.6578,0.7894
53,0.8002,0.7621,0.7621,0.6352,0.7621
54,0.7643,0.7279,0.7279,0.6068,0.7279
55,0.7850,0.7476,0.7476,0.6230,0.7476
56,0.8179,0.7790,0.7790,0.6490,0.7790
57,0.8250,0.8250,0.7875,0.6612,0.8250
58,0.8275,0.8275,0.8275,0.6692,0.8275
59,0.8528,0.8157,0.8157,0.6651,0.8157
60,0.8381,0.8032,0.8032,0.6598,0.8032
61,0.8031,0.7696,0.7696,0.6323,0.7696
62,0.8279,0.7934,0.7934,0.6517,0.7934
63,0.8039,0.7704,0.7704,0.6330,0.7704
64,0.8283,0.7938,0.7938,0.6520,0.7938
65,0.8342,0.7997,0.7994,0.6564,0.7994
66,0.8099,0.7764,0.7761,0.6374,0.7761
67,0.7910,0.7583,0.7581,0.6227,0.7581
68,0.8318,0.7655,0.7652,0.6548,0.7652
69,0.8457,0.7783,0.7780,0.6655,0.7780
70,0.8448,0.7775,0.7772,0.6651,0.7772
71,0.8507,0.7856,0.7853,0.6758,0.7853
72,0.8716,0.8048,0.8046,0.6701,0.8046
73,0.8783,0.8110,0.8107,0.6750,0.8109
74,0.8951,0.8265,0.8262,0.6664,0.8264
75,0.9005,0.8315,0.8312,0.6702,0.8314
76,0.9037,0.8344,0.8342,0.6723,0.8344
77,0.8982,0.8640,0.8317,0.6751,0.8320
78,0.8607,0.8279,0.7970,0.6470,0.7972
79,0.8921,0.8581,0.8260,0.6705,0.8263
80,0.8907,0.8579,0.8270,0.6759,0.8273
81,0.8747,0.8426,0.8123,0.6639,0.8125
82,0.8701,0.8393,0.8390,0.6663,0.8103
83,0.8592,0.8594,0.8296,0.6634,0.8021
84,0.8287,0.8289,0.8001,0.6399,0.7737
85,0.8540,0.8542,0.8245,0.6593,0.7973
86,0.8450,0.8452,0.8450,0.6574,0.7907
87,0.8185,0.8187,0.8185,0.6369,0.7659
88,0.8075,0.8077,0.8075,0.6285,0.7556
89,0.8230,0.8232,0.8230,0.6405,0.7701
90,0.8179,0.8181,0.8179,0.6367,0.7653
91,0.8497,0.8216,0.8214,0.6614,0.7951
92,0.8607,0.8322,0.8320,0.6523,0.8054
93,0.8491,0.8210,0.8208,0.6437,0.7945
94,0.8446,0.8167,0.8164,0.6405,0.7903
95,0.8539,0.8257,0.8255,0.6474,0.7990
96,0.8489,0.8491,0.8215,0.6488,0.7961
97,0.8269,0.8271,0.8002,0.6321,0.7755
98,0.7969,0.7971,0.7712,0.6092,0.7473
99,0.8007,0.8009,0.7749,0.6119,0.7509
100,0.8308,0.8311,0.8040,0.6349,0.7791
101,0.8616,0.8618,0.8338,0.6583,0.7835
102,0.8497,0.8783,0.8232,0.6708,0.7984
103,0.8408,0.8682,0.8153,0.6680,0.7915
104,0.8411,0.8685,0.8156,0.6681,0.7918
105,0.8450,0.8725,0.8194,0.6710,0.7955
106,0.8367,0.8631,0.8121,0.6685,0.7891
107,0.8331,0.8586,0.8093,0.6695,0.7870
108,0.8298,0.8544,0.8067,0.6706,0.7851
109,0.8136,0.8378,0.7910,0.6576,0.7698
110,0.8286,0.8532,0.8056,0.6696,0.7840
111,0.8321,0.8812,0.8096,0.6760,0.7884
112,0.8298,0.8775,0.8298,0.6776,0.8082
113,0.8159,0.8627,0.8159,0.6663,0.7946
114,0.8281,0.8757,0.8281,0.6762,0.8065
115,0.8172,0.8641,0.8172,0.6674,0.7959
116,0.8324,0.8802,0.8324,0.6650,0.8107
117,0.8323,0.8787,0.8323,0.6685,0.8111
118,0.8403,0.8872,0.8403,0.6747,0.8189
119,0.8283,0.8746,0.8283,0.6653,0.8073
120,0.8384,0.8852,0.8384,0.6732,0.8171
121,0.8329,0.9026,0.8329,0.6722,0.8331
122,0.8406,0.9108,0.8406,0.6782,0.8407
123,0.8399,0.9082,0.8399,0.6809,0.8400
124,0.8413,0.9097,0.8413,0.6819,0.8415
125,0.8515,0.9208,0.8307,0.6764,0.8517
126,0.8511,0.9185,0.8308,0.6794,0.8513
127,0.8478,0.9148,0.8276,0.6769,0.8479
128,0.8459,0.9110,0.8262,0.6787,0.8461
129,0.8438,0.9071,0.8246,0.6800,0.8439
130,0.8478,0.9116,0.8285,0.6832,0.8480
131,0.8273,0.8896,0.8085,0.6667,0.8275
132,0.8427,0.9061,0.8235,0.6790,0.8428
133,0.8356,0.8985,0.8167,0.6735,0.8358
134,0.8244,0.8864,0.8057,0.6645,0.8246
135,0.8303,0.8927,0.8114,0.6691,0.8304
136,0.8340,0.8968,0.8151,0.6720,0.8343
137,0.8354,0.8983,0.8164,0.6729,0.8356
138,0.8399,0.9031,0.8208,0.6764,0.8401
139,0.8184,0.8800,0.7998,0.6592,0.8186
140,0.7950,0.8549,0.7770,0.6404,0.7953
141,0.8137,0.8750,0.7952,0.6554,0.8140
142,0.8048,0.8655,0.7866,0.6483,0.8051
143,0.8267,0.8889,0.8079,0.6659,0.8269
144,0.8052,0.8658,0.7869,0.6486,0.8054
145,0.8090,0.8699,0.7906,0.6515,0.8092
146,0.8189,0.8805,0.8002,0.6594,0.8191
147,0.8394,0.9025,0.8020,0.6758,0.8395
148,0.8411,0.9043,0.8036,0.6771,0.8413
149,0.8294,0.8918,0.7925,0.6678,0.8296
150,0.8162,0.8775,0.7798,0.6572,0.8163
151,0.8378,0.9008,0.7831,0.6746,0.8189
152,0.8407,0.9039,0.7858,0.6768,0.8218
153,0.8269,0.8891,0.7729,0.6658,0.8083
154,0.8189,0.8805,0.7654,0.6594,0.8004
155,0.8071,0.8678,0.7544,0.6500,0.7889
156,0.8167,0.8781,0.7634,0.6576,0.7983
157,0.8154,0.8767,0.7622,0.6567,0.7970
158,0.8365,0.8775,0.7653,0.6737,0.8176
159,0.8492,0.8908,0.7769,0.6839,0.8301
160,0.8572,0.8992,0.7842,0.6902,0.8379
161,0.8583,0.9003,0.7852,0.6909,0.8390
162,0.8676,0.8884,0.7937,0.6983,0.8481
163,0.8869,0.8870,0.7944,0.7007,0.8477
164,0.8791,0.8997,0.8058,0.6978,0.8598
165,0.8853,0.9062,0.8115,0.7026,0.8659
166,0.8876,0.9085,0.8136,0.7043,0.8681
167,0.8853,0.9062,0.8115,0.7026,0.8659
168,0.8892,0.9102,0.8151,0.7056,0.8697
169,0.8809,0.9013,0.8090,0.6931,0.8620
170,0.8713,0.8914,0.8001,0.6903,0.8526
171,0.8793,0.8996,0.8075,0.6966,0.8604
172,0.8718,0.8919,0.8006,0.6907,0.8530
173,0.8598,0.8797,0.7896,0.6777,0.8413
174,0.8573,0.8767,0.8048,0.6909,0.8576
175,0.8610,0.8804,0.8082,0.6938,0.8612
176,0.8568,0.8761,0.8043,0.6805,0.8570
177,0.8563,0.8752,0.8049,0.6952,0.8751
178,0.8486,0.8674,0.7977,0.6805,0.8673
179,0.8313,0.8497,0.7814,0.6708,0.8497
180,0.8417,0.8604,0.7912,0.6794,0.8603
181,0.8364,0.8549,0.7862,0.6684,0.8548
182,0.8393,0.8575,0.7899,0.6857,0.8574
183,0.8388,0.8570,0.7895,0.6809,0.8569
184,0.8214,0.8392,0.7731,0.6710,0.8391
185,0.8240,0.8419,0.7755,0.6730,0.8418
186,0.8073,0.8248,0.7598,0.6710,0.8247
187,0.8197,0.8375,0.7715,0.6815,0.8374
188,0.8313,0.8493,0.7824,0.6913,0.8492
189,0.8347,0.8704,0.8019,0.7089,0.8524
190,0.8197,0.8548,0.7874,0.6913,0.8370
191,0.8272,0.8626,0.7946,0.6977,0.8447
192,0.8157,0.8506,0.7836,0.6830,0.8330
193,0.8305,0.8660,0.7978,0.6958,0.8480
194,0.8306,0.8654,0.8142,0.7106,0.8478
195,0.8324,0.8673,0.8160,0.7121,0.8498
196,0.8328,0.8677,0.8163,0.7122,0.8501
197,0.8339,0.8682,0.8177,0.7153,0.8509
198,0.8387,0.8732,0.8224,0.7194,0.8559
199,0.8233,0.8572,0.8073,0.7131,0.8402
200,0.8421,0.8768,0.8102,0.7174,0.8425
201,0.8482,0.8832,0.8161,0.7226,0.8487
202,0.8371,0.8715,0.8053,0.7062,0.8375
203,0.8245,0.8571,0.7944,0.6994,0.8249
204,0.8419,0.8752,0.8112,0.7030,0.8423
205,0.8308,0.8636,0.8004,0.6992,0.8312
206,0.8333,0.8663,0.8029,0.7013,0.8337
207,0.8442,0.8775,0.8133,0.6992,0.8446
208,0.8455,0.8789,0.8146,0.7002,0.8459
209,0.8628,0.8796,0.8164,0.7036,0.8632
210,0.8725,0.8896,0.8256,0.7006,0.8729
211,0.8592,0.8761,0.8131,0.6895,0.8597
212,0.8741,0.8912,0.8271,0.7017,0.8745
213,0.8835,0.9008,0.8361,0.6986,0.8840
214,0.8700,0.8871,0.8233,0.6867,0.8704
215,0.8808,0.8981,0.8335,0.6953,0.8812
216,0.8799,0.8968,0.8335,0.6974,0.8803
217,0.8819,0.8985,0.8362,0.7017,0.8823
218,0.8657,0.8820,0.8208,0.6932,0.8661
219,0.8477,0.8637,0.8037,0.6870,0.8481
220,0.8654,0.8817,0.8205,0.7014,0.8658
221,0.8762,0.8927,0.8307,0.6998,0.8766
222,0.8789,0.8955,0.8333,0.7019,0.8793
223,0.8660,0.8823,0.8211,0.6898,0.8664
224,0.8740,0.8905,0.8287,0.6961,0.8744
225,0.8760,0.8925,0.8304,0.6975,0.8763
226,0.8845,0.9011,0.8384,0.7042,0.8689
227,0.8929,0.9097,0.8464,0.7109,0.8772
228,0.8999,0.9168,0.8531,0.7061,0.8686
229,0.8937,0.9106,0.8472,0.7059,0.8626
230,0.8785,0.8950,0.8328,0.6957,0.8479
231,0.8934,0.9103,0.8469,0.7075,0.8623
232,0.8897,0.9229,0.8442,0.7071,0.8593
233,0.8898,0.9224,0.8450,0.7097,0.8598
234,0.8879,0.9199,0.8440,0.7107,0.8586
235,0.8900,0.9221,0.8460,0.7122,0.8607
236,0.8893,0.9213,0.8453,0.7108,0.8599
237,0.8884,0.9198,0.8451,0.7125,0.8595
238,0.8879,0.9188,0.8453,0.7144,0.8595
239,0.8920,0.9231,0.8493,0.7176,0.8635
240,0.8914,0.9220,0.8494,0.7195,0.8634
241,0.8845,0.9148,0.8428,0.7085,0.8566
242,0.8804,0.9101,0.8396,0.7169,0.8667
243,0.8778,0.9074,0.8371,0.7070,0.8641
244,0.8739,0.9029,0.8468,0.7153,0.8605
245,0.8580,0.8866,0.8315,0.7101,0.8449
246,0.8675,0.8965,0.8408,0.7086,0.8543
247,0.8564,0.8850,0.8300,0.7043,0.8433
248,0.8487,0.8770,0.8225,0.7022,0.8357
249,0.8382,0.8662,0.8123,0.7021,0.8254
250,0.8246,0.8521,0.7991,0.6912,0.8120
251,0.8226,0.8501,0.7972,0.6829,0.8100
252,0.8309,0.8587,0.8053,0.6897,0.8182
253,0.8336,0.8750,0.8206,0.6848,0.8210
254,0.8181,0.8588,0.8054,0.6748,0.8058
255,0.8284,0.8696,0.8155,0.6831,0.8159
256,0.8372,0.8789,0.8242,0.6903,0.8247
257,0.8273,0.8684,0.8144,0.6780,0.8148
258,0.8130,0.8534,0.8003,0.6765,0.8007
